TyreLife,Stint,LapNumber,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound_MEDIUM,Compound_SOFT,RaceName_Bahrain,RaceName_China,RaceName_Emilia Romagna,RaceName_Japan,RaceName_Miami,RaceName_Monaco,RaceName_Saudi Arabia
12.0,2.0,48.0,213.0,258.0,281.0,288.0,False,False,False,False,True,False,False,False,False
21.0,1.0,21.0,215.0,254.0,278.0,288.0,True,False,False,False,True,False,False,False,False
22.0,2.0,29.0,290.0,300.0,293.0,304.0,False,False,False,False,False,False,False,False,True
10.0,1.0,7.0,233.0,246.0,283.0,294.0,False,True,True,False,False,False,False,False,False
7.0,1.0,6.0,271.0,320.0,304.0,308.0,True,False,False,False,False,False,False,False,False
14.0,2.0,21.0,288.0,307.0,296.0,307.0,False,False,False,False,False,False,False,False,True
8.0,1.0,5.0,225.0,250.0,277.0,287.0,False,True,True,False,False,False,False,False,False
3.0,2.0,19.0,273.0,293.0,288.0,288.0,False,False,False,False,False,False,False,False,False
39.0,2.0,40.0,199.0,183.0,258.0,281.0,False,False,False,False,False,False,False,True,False
12.0,1.0,9.0,234.0,247.0,285.0,323.0,False,True,True,False,False,False,False,False,False
5.0,1.0,2.0,234.0,257.0,285.0,302.0,False,True,True,False,False,False,False,False,False
37.0,2.0,44.0,290.0,305.0,296.0,312.0,False,False,False,False,False,False,False,False,True
12.0,3.0,39.0,277.0,269.0,257.0,316.0,True,False,False,True,False,False,False,False,False
3.0,1.0,3.0,281.0,320.0,307.0,328.0,True,False,False,False,False,False,False,False,True
7.0,2.0,15.0,275.0,267.0,255.0,316.0,False,False,False,True,False,False,False,False,False
6.0,2.0,7.0,187.0,173.0,256.0,255.0,True,False,False,False,False,False,False,True,False
9.0,1.0,9.0,273.0,302.0,289.0,311.0,True,False,False,False,False,False,False,False,False
6.0,1.0,6.0,216.0,251.0,279.0,290.0,True,False,False,False,True,False,False,False,False
22.0,2.0,41.0,212.0,185.0,275.0,315.0,False,False,False,False,False,False,True,False,False
34.0,2.0,34.0,184.0,183.0,261.0,277.0,False,False,False,False,False,False,False,True,False
19.0,1.0,19.0,212.0,249.0,273.0,280.0,True,False,False,False,True,False,False,False,False
11.0,3.0,46.0,281.0,308.0,295.0,301.0,False,False,False,False,False,False,False,False,False
6.0,2.0,7.0,180.0,176.0,267.0,283.0,True,False,False,False,False,False,False,True,False
2.0,1.0,2.0,275.0,267.0,256.0,340.0,True,False,False,True,False,False,False,False,False
25.0,2.0,37.0,213.0,185.0,279.0,320.0,False,False,False,False,False,False,True,False,False
32.0,2.0,39.0,290.0,311.0,296.0,314.0,False,False,False,False,False,False,False,False,True
17.0,3.0,51.0,213.0,185.0,288.0,334.0,True,False,False,False,False,False,True,False,False
19.0,1.0,19.0,214.0,253.0,277.0,284.0,True,False,False,False,True,False,False,False,False
35.0,2.0,48.0,213.0,255.0,281.0,286.0,False,False,False,False,True,False,False,False,False
6.0,1.0,6.0,212.0,253.0,277.0,286.0,True,False,False,False,True,False,False,False,False
