Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RaceName,Year,IsOutlierLap
VER,96.296,2.0,1.0,30.916,41.661,23.719,232.0,248.0,276.0,287.0,True,SOFT,5.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,96.753,3.0,1.0,30.999,41.966,23.788,231.0,243.0,276.0,290.0,False,SOFT,6.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,96.647,4.0,1.0,30.931,41.892,23.824,233.0,253.0,276.0,290.0,False,SOFT,7.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.173,5.0,1.0,31.255,42.056,23.862,231.0,245.0,276.0,289.0,False,SOFT,8.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.092,6.0,1.0,31.041,42.187,23.864,231.0,247.0,276.0,296.0,False,SOFT,9.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.038,7.0,1.0,31.015,42.118,23.905,232.0,242.0,277.0,291.0,False,SOFT,10.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.024,8.0,1.0,31.041,42.077,23.906,231.0,250.0,277.0,291.0,False,SOFT,11.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.229,9.0,1.0,31.1,42.166,23.963,231.0,243.0,276.0,292.0,False,SOFT,12.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.045,12.0,1.0,30.966,42.091,23.988,234.0,249.0,277.0,292.0,False,SOFT,15.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.03,13.0,1.0,30.964,42.055,24.011,233.0,251.0,277.0,292.0,False,SOFT,16.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.028,14.0,1.0,30.938,42.042,24.048,233.0,253.0,277.0,293.0,False,SOFT,17.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.011,15.0,1.0,30.887,42.058,24.066,232.0,254.0,276.0,293.0,False,SOFT,18.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,97.168,16.0,1.0,31.048,42.032,24.088,233.0,260.0,277.0,292.0,False,SOFT,19.0,False,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,99.896,17.0,1.0,31.006,42.06,26.83,232.0,262.0,281.0,293.0,False,SOFT,20.0,False,Red Bull Racing,1,1.0,False,Bahrain,2024,True
VER,117.854,18.0,2.0,52.815,41.511,23.528,232.0,252.0,277.0,212.0,False,HARD,1.0,True,Red Bull Racing,1,1.0,False,Bahrain,2024,True
VER,95.283,19.0,2.0,30.628,41.162,23.493,233.0,248.0,278.0,288.0,True,HARD,2.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.16,20.0,2.0,30.585,41.1,23.475,233.0,256.0,278.0,291.0,True,HARD,3.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.316,21.0,2.0,30.576,41.24,23.5,235.0,251.0,278.0,293.0,False,HARD,4.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.204,22.0,2.0,30.56,41.142,23.502,234.0,254.0,279.0,294.0,False,HARD,5.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.216,23.0,2.0,30.553,41.145,23.518,234.0,253.0,279.0,294.0,False,HARD,6.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.289,24.0,2.0,30.548,41.257,23.484,234.0,257.0,279.0,294.0,False,HARD,7.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.342,25.0,2.0,30.518,41.282,23.542,233.0,250.0,279.0,295.0,False,HARD,8.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.223,26.0,2.0,30.522,41.14,23.561,235.0,257.0,279.0,295.0,False,HARD,9.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.581,27.0,2.0,30.649,41.338,23.594,230.0,250.0,279.0,294.0,False,HARD,10.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.477,28.0,2.0,30.588,41.272,23.617,233.0,258.0,278.0,293.0,False,HARD,11.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.793,29.0,2.0,30.679,41.485,23.629,234.0,258.0,279.0,293.0,False,HARD,12.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.771,30.0,2.0,30.657,41.47,23.644,234.0,254.0,279.0,294.0,False,HARD,13.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.679,31.0,2.0,30.635,41.435,23.609,234.0,260.0,279.0,295.0,False,HARD,14.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.886,32.0,2.0,30.669,41.519,23.698,234.0,260.0,279.0,296.0,False,HARD,15.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.863,33.0,2.0,30.69,41.459,23.714,233.0,258.0,279.0,295.0,False,HARD,16.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,96.133,34.0,2.0,30.685,41.661,23.787,233.0,261.0,279.0,296.0,False,HARD,17.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,96.018,35.0,2.0,30.727,41.557,23.734,234.0,260.0,279.0,295.0,False,HARD,18.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,96.205,36.0,2.0,30.794,41.561,23.85,234.0,263.0,280.0,297.0,False,HARD,19.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,99.234,37.0,2.0,30.877,41.634,26.723,233.0,264.0,281.0,297.0,False,HARD,20.0,True,Red Bull Racing,1,1.0,False,Bahrain,2024,False
VER,116.445,38.0,3.0,51.526,41.562,23.357,236.0,258.0,280.0,217.0,False,SOFT,1.0,True,Red Bull Racing,1,1.0,False,Bahrain,2024,True
VER,92.608,39.0,3.0,29.741,39.916,22.951,239.0,265.0,281.0,299.0,True,SOFT,2.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,96.589,40.0,3.0,31.014,42.023,23.552,234.0,245.0,281.0,275.0,False,SOFT,3.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,95.29,41.0,3.0,30.697,41.281,23.312,237.0,252.0,281.0,292.0,False,SOFT,4.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,94.667,42.0,3.0,30.477,40.996,23.194,237.0,261.0,281.0,294.0,False,SOFT,5.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
VER,94.151,43.0,3.0,30.132,40.772,23.247,237.0,261.0,281.0,296.0,False,SOFT,6.0,True,Red Bull Racing,1,1.0,True,Bahrain,2024,False
